timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1569224862103,21434,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-22,,true,,999,903,70,70,21434,5,47
1569224883535,69,JSR223 Sampler,200,OK,manual assign job 1-63,text,true,,320,0,70,70,0,0,0
1569224883547,65,JSR223 Sampler,200,OK,manual assign job 1-22,text,true,,320,0,70,70,0,0,0
1569224861934,21709,HTTPREQ Manaul Assign,200,OK,manual assign job 1-17,text,true,,999,903,70,70,21709,0,48
1569224861919,21709,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-17,,true,,999,903,70,70,21709,18,48
1569224870317,13343,HTTPREQ Manaul Assign,200,OK,manual assign job 1-29,text,true,,999,903,70,70,13343,0,49
1569224870317,13343,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-29,,true,,999,903,70,70,13343,5,49
1569224862177,21517,HTTPREQ Manaul Assign,200,OK,manual assign job 1-41,text,true,,999,903,70,70,21517,0,69
1569224862177,21517,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-41,,true,,999,903,70,70,21517,4,69
1569224862054,21657,HTTPREQ Manaul Assign,200,OK,manual assign job 1-61,text,true,,998,903,70,70,21657,0,48
1569224862054,21657,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-61,,true,,998,903,70,70,21657,9,48
1569224883669,60,JSR223 Sampler,200,OK,manual assign job 1-29,text,true,,320,0,70,70,0,0,0
1569224871118,12613,HTTPREQ Manaul Assign,200,OK,manual assign job 1-33,text,true,,999,903,70,70,12613,0,48
1569224871117,12613,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-33,,true,,999,903,70,70,12613,9,48
1569224883650,94,JSR223 Sampler,200,OK,manual assign job 1-17,text,true,,320,0,70,70,0,0,0
1569224870436,13320,HTTPREQ Manaul Assign,200,OK,manual assign job 1-37,text,true,,999,903,70,70,13320,0,50
1569224871023,12764,HTTPREQ Manaul Assign,200,OK,manual assign job 1-6,text,true,,999,902,70,70,12764,0,47
1569224870436,13320,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-37,,true,,999,903,70,70,13320,31,50
1569224871023,12764,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-6,,true,,999,902,70,70,12764,11,47
1569224883701,122,JSR223 Sampler,200,OK,manual assign job 1-41,text,true,,320,0,70,70,0,0,0
1569224883746,141,JSR223 Sampler,200,OK,manual assign job 1-33,text,true,,320,0,70,70,0,0,0
1569224883727,169,JSR223 Sampler,200,OK,manual assign job 1-61,text,true,,320,0,70,70,0,0,0
1569224883810,134,JSR223 Sampler,200,OK,manual assign job 1-6,text,true,,320,0,70,70,0,0,0
1569224883803,152,JSR223 Sampler,200,OK,manual assign job 1-37,text,true,,320,0,70,70,0,0,0
1569224862132,21936,HTTPREQ Manaul Assign,200,OK,manual assign job 1-23,text,true,,999,903,70,70,21936,0,50
1569224862130,21936,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-23,,true,,999,903,70,70,21936,6,50
1569224870983,13096,HTTPREQ Manaul Assign,200,OK,manual assign job 1-10,text,true,,999,903,70,70,13096,0,51
1569224870983,13096,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-10,,true,,999,903,70,70,13096,5,51
1569224862168,21917,HTTPREQ Manaul Assign,200,OK,manual assign job 1-36,text,true,,999,903,70,70,21917,0,50
1569224862168,21917,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-36,,true,,999,903,70,70,21917,8,50
1569224884075,72,JSR223 Sampler,200,OK,manual assign job 1-23,text,true,,320,0,70,70,0,0,0
1569224862114,22084,HTTPREQ Manaul Assign,200,OK,manual assign job 1-57,text,true,,999,903,70,70,22084,0,50
1569224862114,22084,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-57,,true,,999,903,70,70,22084,4,50
1569224884093,116,JSR223 Sampler,200,OK,manual assign job 1-10,text,true,,320,0,70,70,0,0,0
1569224884101,112,JSR223 Sampler,200,OK,manual assign job 1-36,text,true,,320,0,70,70,0,0,0
1569224871126,13104,HTTPREQ Manaul Assign,200,OK,manual assign job 1-18,text,true,,999,903,70,70,13104,0,48
1569224870028,14202,HTTPREQ Manaul Assign,200,OK,manual assign job 1-8,text,true,,999,902,70,70,14202,0,50
1569224871126,13104,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-18,,true,,999,903,70,70,13104,4,48
1569224870027,14202,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-8,,true,,999,902,70,70,14202,5,50
1569224884206,100,JSR223 Sampler,200,OK,manual assign job 1-57,text,true,,320,0,70,70,0,0,0
1569224871814,12492,HTTPREQ Manaul Assign,200,OK,manual assign job 1-45,text,true,,999,903,70,70,12492,0,48
1569224871814,12492,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-45,,true,,999,903,70,70,12492,6,48
1569224884238,135,JSR223 Sampler,200,OK,manual assign job 1-18,text,true,,320,0,70,70,0,0,0
1569224884239,134,JSR223 Sampler,200,OK,manual assign job 1-8,text,true,,320,0,70,70,0,0,0
1569224884316,87,JSR223 Sampler,200,OK,manual assign job 1-45,text,true,,320,0,70,70,0,0,0
1569224874188,11199,HTTPREQ Manaul Assign,200,OK,manual assign job 1-70,text,true,,999,903,70,70,11199,0,46
1569224874188,11199,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-70,,true,,999,903,70,70,11199,4,46
1569224885394,58,JSR223 Sampler,200,OK,manual assign job 1-70,text,true,,320,0,70,70,0,0,0
1569224871738,13758,HTTPREQ Manaul Assign,200,OK,manual assign job 1-49,text,true,,999,903,70,70,13758,0,48
1569224871738,13758,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-49,,true,,999,903,70,70,13758,4,48
1569224885505,62,JSR223 Sampler,200,OK,manual assign job 1-49,text,true,,320,0,70,70,0,0,0
1569224872688,13061,HTTPREQ Manaul Assign,200,OK,manual assign job 1-39,text,true,,999,903,70,70,13061,0,46
1569224872688,13061,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-39,,true,,999,903,70,70,13061,5,46
1569224872622,13184,HTTPREQ Manaul Assign,200,OK,manual assign job 1-65,text,true,,998,903,70,70,13184,0,48
1569224872622,13184,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-65,,true,,998,903,70,70,13184,3,48
1569224885757,58,JSR223 Sampler,200,OK,manual assign job 1-39,text,true,,320,0,70,70,0,0,0
1569224885812,60,JSR223 Sampler,200,OK,manual assign job 1-65,text,true,,320,0,70,70,0,0,0
1569224873905,12761,HTTPREQ Manaul Assign,200,OK,manual assign job 1-44,text,true,,999,903,70,70,12761,0,49
1569224873904,12761,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-44,,true,,999,903,70,70,12761,5,49
1569224886673,73,JSR223 Sampler,200,OK,manual assign job 1-44,text,true,,320,0,70,70,0,0,0
1569224874198,13113,HTTPREQ Manaul Assign,200,OK,manual assign job 1-56,text,true,,998,903,70,70,13113,0,48
1569224874198,13113,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-56,,true,,998,903,70,70,13113,5,48
1569224887319,58,JSR223 Sampler,200,OK,manual assign job 1-56,text,true,,320,0,70,70,0,0,0
1569224874182,13221,HTTPREQ Manaul Assign,200,OK,manual assign job 1-53,text,true,,999,903,70,70,13221,0,48
1569224874182,13221,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-53,,true,,999,903,70,70,13221,3,48
1569224887409,58,JSR223 Sampler,200,OK,manual assign job 1-53,text,true,,320,0,70,70,0,0,0
1569224874573,12916,HTTPREQ Manaul Assign,200,OK,manual assign job 1-50,text,true,,999,903,70,70,12916,0,49
1569224874573,12916,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-50,,true,,999,903,70,70,12916,4,49
1569224887496,58,JSR223 Sampler,200,OK,manual assign job 1-50,text,true,,320,0,70,70,0,0,0
1569224874730,13065,HTTPREQ Manaul Assign,200,OK,manual assign job 1-48,text,true,,999,903,70,70,13065,0,48
1569224874729,13065,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-48,,true,,999,903,70,70,13065,5,48
1569224887801,58,JSR223 Sampler,200,OK,manual assign job 1-48,text,true,,320,0,70,70,0,0,0
1569224874784,13544,HTTPREQ Manaul Assign,200,OK,manual assign job 1-3,text,true,,999,902,70,70,13544,0,54
1569224874784,13544,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-3,,true,,999,902,70,70,13544,4,54
